customer_state,product_category_name,Count_industry,Average Price per state
AL,consoles_games,7,383.29714285714283
RN,consoles_games,6,275.82666666666665
SE,consoles_games,6,288.665
TO,consoles_games,4,82.175
RO,consoles_games,1,19.9
AC,consoles_games,1,276.14
MG,malas_acessorios,199,120.60723618090452
SP,malas_acessorios,476,127.6223949579832
PR,malas_acessorios,51,125.84411764705882
BA,malas_acessorios,38,101.65552631578947
MT,malas_acessorios,8,142.44875000000002
RO,malas_acessorios,7,207.35714285714286
PB,malas_acessorios,7,152.3557142857143
SE,malas_acessorios,3,96.56666666666666
RJ,malas_acessorios,126,120.44515873015874
CE,malas_acessorios,29,127.13793103448276
PI,malas_acessorios,6,126.74833333333333
DF,malas_acessorios,24,115.70208333333333
AC,malas_acessorios,3,132.6
RS,malas_acessorios,67,120.77388059701494
GO,malas_acessorios,12,136.06416666666667
MS,malas_acessorios,9,151.73666666666668
PA,malas_acessorios,7,216.51857142857145
MA,malas_acessorios,9,133.60333333333335
SC,malas_acessorios,37,162.8018918918919
AL,malas_acessorios,6,166.56
RN,malas_acessorios,1,299.9
ES,malas_acessorios,16,159.5925
PE,malas_acessorios,13,125.78923076923078
TO,malas_acessorios,2,174.89999999999998
AM,malas_acessorios,3,130.26666666666668
SP,construcao_ferramentas_construcao,439,145.0402050116173
BA,construcao_ferramentas_construcao,36,127.63055555555555
MG,construcao_ferramentas_construcao,122,148.00540983606558
RJ,construcao_ferramentas_construcao,122,161.20532786885246
PR,construcao_ferramentas_construcao,55,173.76036363636362
CE,construcao_ferramentas_construcao,11,167.91454545454545
SC,construcao_ferramentas_construcao,30,165.893333334
PE,construcao_ferramentas_construcao,12,216.1475
SE,construcao_ferramentas_construcao,1,779.9
DF,construcao_ferramentas_construcao,13,101.68769230769232
RS,construcao_ferramentas_construcao,44,126.7875
ES,construcao_ferramentas_construcao,14,208.29857142857145
GO,construcao_ferramentas_construcao,11,112.10545454545453
MT,construcao_ferramentas_construcao,7,459.4114285714286
PA,construcao_ferramentas_construcao,2,243.945
RO,construcao_ferramentas_construcao,4,343.625
AL,construcao_ferramentas_construcao,2,597.5
RN,construcao_ferramentas_construcao,8,206.94625000125
MS,construcao_ferramentas_construcao,14,122.50071428571428
MA,construcao_ferramentas_construcao,1,49.99
PB,construcao_ferramentas_construcao,1,226.9
